Tujuan Kab/Kota/Kec;Tujuan ID Kantor;Tujuan KPRK;Tarif PaketPos > 2 s.d. 3Kg;Tarif per Kg Berikutnya
Jakartapusat;10000;10000;81.000;27.000
Jakartabarat;11000;11000;73.500;24.500
Jakartaselatan;12000;12000;81.000;27.000
Jakartatimur;13000;13000;81.000;27.000
Jakartautara;14000;14000;73.500;24.500
Pulauseribu;14530;14000;103.500;34.500
Tangerang;15000;15000;85.500;28.500
Ciputat;15400;15400;85.500;28.500
Balaraja;15610;15000;85.500;28.500
Bogor;16000;16000;85.500;28.500
Depok;16400;16400;85.500;28.500
Ciampea;16620;16000;85.500;28.500
Cibinong;16900;16900;85.500;28.500
Bekasi;17000;17000;78.000;26.000
Cikarang;17500;17500;85.500;28.500
Babelan;17610;17000;78.000;26.000
Medan;20000;20000;97.500;32.500
Bandarbaru;20357;20000;103.500;34.500
Tebingtinggideli;20600;20600;97.500;32.500
Binjai;20700;20700;97.500;32.500
Batangserangan;20883;20700;103.500;34.500
Bandarkhalipah;20994;20600;103.500;34.500
Pematangsiantar;21100;21100;112.500;37.500
Bahjambi;21153;21100;118.500;39.500
Kisaran;21200;21200;112.500;37.500
Indrapura;21256;21200;118.500;39.500
Tanjungbalai;21300;21200;118.500;39.500
Rantauprapat;21400;21400;112.500;37.500
Merbau;21452;21400;118.500;39.500
Aekkanopan;21457;21400;118.500;39.500
Kotapinang;21464;21400;118.500;39.500
Tanjungleidong;21475;21200;127.500;42.500
Kabanjahe;22100;22100;97.500;32.500
Bunturaja;22261;22100;112.500;37.500
Salak;22272;22100;112.500;37.500
Balige;22300;22300;112.500;37.500
Nainggolan;22394;22300;142.500;47.500
Ambarita;22395;22300;142.500;47.500
Tarutung;22400;22400;112.500;37.500
Doloksanggul;22457;22400;127.500;42.500
Sibolga;22500;22500;112.500;37.500
Barus;22564;22500;127.500;42.500
Padangsidempuan;22700;22700;112.500;37.500
Batangtoru;22738;22700;118.500;39.500
Gunungtua;22753;22700;127.500;42.500
Binanga;22755;22700;127.500;42.500
Gunungsitoli;22800;22800;112.500;37.500
Lahewa;22853;22800;118.500;39.500
Sirombu;22863;22800;118.500;39.500
Telukdalam;22865;22800;127.500;42.500
Hiliweto;22871;22800;118.500;39.500
Kayulaut;22952;22700;127.500;42.500
Bandaaceh;23000;23000;120.000;40.000
Indrapuri;23363;23000;126.000;42.000
Sabang;23500;23000;150.000;50.000
Meulaboh;23600;23600;69.000;23.000
Lamno;23657;23000;135.000;45.000
Alurbilie;23662;23600;133.500;44.500
Kampungaie;23694;23600;157.500;52.500
Tapaktuan;23700;23700;127.500;42.500
Blangpidie;23764;23700;133.500;44.500
Subulussalam;23782;23700;142.500;47.500
Pulaubanyak;23791;23700;142.500;47.500
Sigli;24100;24100;120.000;40.000
Luengputu;24184;24100;126.000;42.000
Bireuen;24200;24300;127.500;42.500
Lhokseumawe;24300;24300;112.500;37.500
Alueieputeh;24392;24300;118.500;39.500
Langsa;24400;24400;112.500;37.500
Bayeun;24452;24400;118.500;39.500
Bendahara;24472;24400;118.500;39.500
Angkup;24562;24300;127.500;42.500
Janarata;24582;24300;127.500;42.500
Kutacane;24600;24600;120.000;40.000
Blangkejeran;24653;24600;135.000;45.000
Padang;25000;25000;82.500;27.500
Sikakap;25391;25000;112.500;37.500
Sioban;25392;25000;112.500;37.500
Muarasiberut;25393;25000;112.500;37.500
Muarasikabaluan;25394;25000;112.500;37.500
Pariaman;25500;25500;90.000;30.000
Kampungdalam;25552;25500;96.000;32.000
Painan;25600;25600;90.000;30.000
Tuapejat;25700;25000;112.500;37.500
Bukitinggi;26100;26100;82.500;27.500
Baso;26192;26100;97.500;32.500
Payakumbuh;26200;26200;82.500;27.500
Dangungdangung;26253;26200;88.500;29.500
Lubuksikaping;26300;26300;82.500;27.500
Airbangis;26373;26300;97.500;32.500
Padangpanjang;27100;27100;82.500;27.500
Batusangkar;27200;27100;88.500;29.500
Solok;27300;27300;90.000;30.000
Alahanpanjang;27371;27300;96.000;32.000
Sawahlunto;27400;27400;90.000;30.000
Muarobodipalangki;27561;27400;96.000;32.000
Kotabaru;27681;27400;105.000;35.000
Lubukgadang;27778;27300;105.000;35.000
Pekanbaru;28000;28000;67.500;22.500
Pangkalankerinci;28300;28000;82.500;27.500
Bangkinang;28500;28500;97.500;32.500
Daludalu;28558B1;28500;112.500;37.500
Bengkalis;28700;28800;90.000;30.000
Telukbelitung;28752;28800;90.000;30.000
Selatpanjang;28753;28800;90.000;30.000
Bantan;28754B1;28800;90.000;30.000
Sungaipakning;28761;28800;90.000;30.000
Batupanjang;28781;28800;90.000;30.000
Dumai;28800;28800;60.000;20.000
Minas;28885;28000;82.500;27.500
Baganbatu;28992;28800;75.000;25.000
Tanjungpinang;29100;29100;18.000;6.000
Kijang;29151;29100;72.000;24.000
Tambelan;29193;29100;147.000;49.000
Tembilahan;29200;29200;75.000;25.000
Khairiahmandah;29254;29200;105.000;35.000
Sungaiguntung;29255;29200;105.000;35.000
Pulauburung;29256;29200;105.000;35.000
Kualaenok;29271;29200;105.000;35.000
Pulaukijang;29273;29200;105.000;35.000
Kotabaruseberida;29274;29200;105.000;35.000
Sapat;29281;29200;105.000;35.000
Kualalahang;29282;29200;105.000;35.000
Rengat;29300;29300;67.500;22.500
Baserah;29361;29300;82.500;27.500
Tanjungbatu;29662;29400;51.000;17.000
Moro;29663;29400;51.000;17.000
Meral;29664;29400;51.000;17.000
Serasan;29781;29100;147.000;49.000
Sedanau;29782;29100;141.000;47.000
Ranai;29783;29100;75.000;25.000
Midai;29784;29100;147.000;49.000
Terempa;29791;29100;93.000;31.000
Letung;29792;29100;147.000;49.000
Dabosingkep;29871;29100;93.000;31.000
Senayang;29873;29100;118.500;39.500
Palmatak;29997B1;29100;147.000;49.000
Palembang;30000;30000;90.000;30.000
Airsugihankanan;30656;30000;105.000;35.000
Indralaya;30662;30000;96.000;32.000
Babatsumatera;30752;30000;105.000;35.000
Airsaleh;30773;30000;105.000;35.000
Prabumulih;31100;31100;103.500;34.500
Gelumbang;31171;31100;118.500;39.500
Pendopo;31211;31100;109.500;36.500
Muaraenim;31300;31300;103.500;34.500
Lahat;31400;31400;103.500;34.500
Pagaralam;31500;31400;109.500;36.500
Muarapinang;31592;31400;118.500;39.500
Lubuklinggau;31600;31600;103.500;34.500
Binginteluk;31655;31600;118.500;39.500
Airbeliti;31664;31600;118.500;39.500
Baturaja;32100;32100;117.000;39.000
Muaraduakisam;32172;32100;132.000;44.000
Belitang;32182;32100;132.000;44.000
Pangkalpinang;33100;33100;102.000;34.000
Baturusa;33172;33100;108.000;36.000
Payung;33178;33100;117.000;39.000
Koba;33181;33100;108.000;36.000
Kelapa;33364;33100;117.000;39.000
Tanjungpandan;33400;33400;111.000;37.000
Gantung;33462;33400;117.000;39.000
Metro;34100;34100;108.000;36.000
Bandaragung;34163;34100;123.000;41.000
Batanghari;34181;34100;123.000;41.000
Kotabumi;34500;34500;121.500;40.500
Banjit;34566;34500;136.500;45.500
Kenali;34572;34500;136.500;45.500
Krui;34574;34500;136.500;45.500
Dayamurni;34592;34500;127.500;42.500
Dwiwargatunggaljaya;34595;34500;136.500;45.500
Simpangpematang;34598;34500;136.500;45.500
Bandarlampung;35000;35000;94.500;31.500
Gedongtataan;35371;35000;100.500;33.500
Gadingrejo;35372;35000;100.500;33.500
Ambarawalampung;35376;35000;100.500;33.500
Gisting;35378;35000;109.500;36.500
Bakauheni;35592;35000;109.500;36.500
Jambi;36000;36000;102.000;34.000
Kumpeh;36371;36000;117.000;39.000
Kualatungkal;36500;36000;117.000;39.000
Dendang;36563;36000;117.000;39.000
Bajubang;36652;36000;117.000;39.000
Sungaipenuh;37100;37100;115.500;38.500
Hiang;37171;37100;121.500;40.500
Muarabungo;37200;37200;115.500;38.500
Alaiilir;37256;37200;121.500;40.500
Bangko;37300;37200;130.500;43.500
Limun;37383;37200;130.500;43.500
Bengkulu;38000;38000;121.500;40.500
Lubukpinang;38367;38000;136.500;45.500
Airsebakul;38381;38000;127.500;42.500
Kedurang;38557;38000;136.500;45.500
Bintuhan;38563;38000;136.500;45.500
Cahayanegeri;38577;38000;136.500;45.500
Argamakmur;38600;38000;136.500;45.500
Curup;39100;39100;112.500;37.500
Muaraaman;39164;39100;118.500;39.500
Kepahiang;39172;39100;118.500;39.500
Bandung;40000;40000;88.500;29.500
Ujungberung;40100;40100;93.000;31.000
Cimahi;40500;40500;88.500;29.500
Soreang;40900;40900;88.500;29.500
Purwakarta;41100;41100;88.500;29.500
Subang;41200;41200;97.500;32.500
Karawang;41300;41300;88.500;29.500
Serang;42100;42100;85.500;28.500
Baros;42173;42100;91.500;30.500
Pandeglang;42200;42200;94.500;31.500
Rangkasbitung;42300;42300;94.500;31.500
Cilegon;42400;42400;85.500;28.500
Sukabumi;43100;43100;88.500;29.500
Bojonglopang;43171;43100;103.500;34.500
Cianjur;43200;43200;97.500;32.500
Garut;44100;44100;97.500;32.500
Cirebon;45100;45100;88.500;29.500
Arjawinangun;45162;45100;94.500;31.500
Indramayu;45200;45200;97.500;32.500
Sumedang;45300;45300;97.500;32.500
Majalengka;45400;45400;97.500;32.500
Kuningan;45500;45500;97.500;32.500
Tasikmalaya;46100;46100;93.000;31.000
Bantarkalong;46187;46100;99.000;33.000
Ciamis;46200;46200;93.000;31.000
Banjar;46300;46300;102.000;34.000
Cijulang;46394;46300;108.000;36.000
Semarang;50000;50000;94.500;31.500
Ungaran;50500;50500;94.500;31.500
Salatiga;50700;50700;103.500;34.500
Pekalongan;51100;51100;103.500;34.500
Bojongpekalongan;51156;51100;109.500;36.500
Bandarsidayu;51254;51100;109.500;36.500
Kendal;51300;51300;103.500;34.500
Tegal;52100;52100;103.500;34.500
Adiwerna;52194;52100;109.500;36.500
Brebes;52200;52200;103.500;34.500
Pemalang;52300;52300;103.500;34.500
Purwokerto;53100;53100;103.500;34.500
Cilacap;53200;53200;94.500;31.500
Purbalingga;53300;53300;103.500;34.500
Banjarnegara;53400;53400;103.500;34.500
Purworejo;54100;54100;103.500;34.500
Kebumen;54300;54300;103.500;34.500
Yogyakarta;55000;55000;94.500;31.500
Banguntapan;55197;55000;100.500;33.500
Berbah;55573;55000;100.500;33.500
Watesyogya;55600;55600;103.500;34.500
Bantul;55700;55700;94.500;31.500
Wonosariyogya;55800;55800;103.500;34.500
Magelang;56100;56100;94.500;31.500
Bandongan;56151;56100;100.500;33.500
Temanggung;56200;56200;103.500;34.500
Wonosobo;56300;56300;103.500;34.500
Solo;57100;57100;94.500;31.500
Sragen;57200;57200;103.500;34.500
Boyolali;57300;57300;103.500;34.500
Klaten;57400;57400;103.500;34.500
Sukoharjo;57500;57500;103.500;34.500
Wonogiri;57600;57600;103.500;34.500
Karanganyar;57700;57700;103.500;34.500
Purwodadigrobogan;58100;58100;103.500;34.500
Blora;58200;58200;112.500;37.500
Pati;59100;59100;103.500;34.500
Bulu;59255;59100;109.500;36.500
Kudus;59300;59300;103.500;34.500
Jepara;59400;59400;103.500;34.500
Karimunjawa;59455;59400;133.500;44.500
Demak;59500;50000;100.500;33.500
Surabaya;60000;60000;103.500;34.500
Surabayaselatan;60300;60300;103.500;34.500
Gresik;61100;61100;103.500;34.500
Bawean;61181;61100;133.500;44.500
Sidoarjo;61200;61200;103.500;34.500
Mojokerto;61300;61300;111.000;37.000
Bangsal;61381;61300;117.000;39.000
Jombang;61400;61400;108.000;36.000
Bojonegoro;62100;62100;103.500;34.500
Lamongan;62200;62200;112.500;37.500
Tuban;62300;62300;112.500;37.500
Madiun;63100;63100;111.000;37.000
Balerejo;63152;63100;117.000;39.000
Ngawi;63200;63200;108.000;36.000
Magetan;63300;63300;108.000;36.000
Ponorogo;63400;63400;108.000;36.000
Arjosari;63581;63400;123.000;41.000
Kediri;64100;64100;111.000;37.000
Badas;64221;64100;117.000;39.000
Nganjuk;64400;64400;120.000;40.000
Malang;65100;65100;111.000;37.000
Ampelgading;65183;65100;117.000;39.000
Batu;65311;65100;117.000;39.000
Blitar;66100;66100;120.000;40.000
Tulungagung;66200;66200;112.500;37.500
Dongko;66363;66200;118.500;39.500
Pasuruan;67100;67100;111.000;37.000
Bangil;67153;67100;117.000;39.000
Probolinggo;67200;67200;111.000;37.000
Bantaran;67261;67200;117.000;39.000
Lumajang;67300;67300;120.000;40.000
Jember;68100;68100;111.000;37.000
Bondowoso;68200;68200;120.000;40.000
Situbondo;68300;68300;120.000;40.000
Banyuwangi;68400;68400;120.000;40.000
Bangkalan;69100;69100;112.500;37.500
Banyuates;69263;69100;118.500;39.500
Pamekasan;69300;69300;112.500;37.500
Sumenep;69400;69400;121.500;40.500
Giligenting;69482;69400;151.500;50.500
Gayam;69483;69400;151.500;50.500
Raas;69485B1;69400;151.500;50.500
Arjasa;69491;69400;151.500;50.500
Masalembu;69492;69400;151.500;50.500
Sapeken;69493;69400;151.500;50.500
Banjarmasin;70000;70000;129.000;43.000
Anjirmuara;70564;70000;144.000;48.000
Aluhaluh;70655;70700;135.000;45.000
Banjarbaru;70700;70700;129.000;43.000
Batibati;70852;70700;144.000;48.000
Binuang;71183;71200;153.000;51.000
Kandangan;71200;71200;147.000;49.000
Barabai;71300;71400;153.000;51.000
Amuntai;71400;71400;147.000;49.000
Haruai;71572;71400;162.000;54.000
Awayan;71664;71400;153.000;51.000
Berangaskotabaru;72152;72200;162.000;54.000
Batulicin;72200;72200;147.000;49.000
Palangkaraya;73000;73000;121.500;40.500
Bahaur;73572;73000;136.500;45.500
Anjirserapat;73581;73000;136.500;45.500
Tamianglayang;73600;73700;177.000;59.000
Ampah;73652;73700;177.000;59.000
Buntok;73700;73700;147.000;49.000
Pendang;73752;73700;177.000;59.000
Bangkuang;73761;73700;177.000;59.000
Mengkatip;73762;73700;177.000;59.000
Jenamas;73763;73700;177.000;59.000
Muaratewe;73800;73700;177.000;59.000
Lahei;73852;73700;162.000;54.000
Purukcau;73900;73700;177.000;59.000
Muaralaung;73991;73700;162.000;54.000
Pangkalanbun;74100;74100;139.500;46.500
Nangabulik;74162;74100;154.500;51.500
Balairiam;74173;74100;154.500;51.500
Kualapembuang;74200;74300;171.000;57.000
Pembuanghulu;74271;74300;169.500;56.500
Sampit;74300;74300;139.500;46.500
Pundu;74341B1;74300;169.500;56.500
Sebabi;74352B1;74300;169.500;56.500
Kotabesi;74353;74300;169.500;56.500
Cempakamulia;74354;74300;169.500;56.500
Parenggean;74355;74300;169.500;56.500
Kualakuayan;74356;74300;175.500;58.500
Samuda;74363;74300;169.500;56.500
Kasungan;74400;73000;136.500;45.500
Pegatanmendawai;74463;73000;151.500;50.500
Kualakurun;74500;73000;136.500;45.500
Samarinda;75000;75000;151.500;50.500
Bontang;75300;75300;157.500;52.500
Anggana;75381;75000;166.500;55.500
Tenggarong;75500;75500;169.500;56.500
Batutimbau;75554;75000;166.500;55.500
Muaramuntai;75562;75500;199.500;66.500
Barongtongkok;75576;75500;184.500;61.500
Sangatta;75600;75300;187.500;62.500
Swargabara;75611;75300;187.500;62.500
Telukpandan;75651B1;75300;187.500;62.500
Bengalon;75653B1;75300;187.500;62.500
Muarawahau;75655;75300;187.500;62.500
Kongbeng;75657;75300;187.500;62.500
Balikpapan;76100;76100;147.000;49.000
Kenangan;76146;76100;162.000;54.000
Batukajang;76252;76100;162.000;54.000
Tanjungselor;77000;77000;169.500;56.500
Tarakan;77100;77100;205.500;68.500
Atap;77153;77100;235.500;78.500
Longbawan;77156;77100;235.500;78.500
Nunukan;77182;77100;235.500;78.500
Sungainyamuk;77183;77100;235.500;78.500
Tanjungpalas;77252B1;77000;201.000;67.000
Salimbatu;77253B1;77000;204.000;68.000
Pulaubunyu;77281B1;77000;199.500;66.500
Tanjungredeb;77300;77300;165.000;55.000
Mensalong;77457;77100;235.500;78.500
Sebuku;77491;77100;235.500;78.500
Malinau;77511B1;77000;199.500;66.500
Longpujungan;77562B1;77000;199.500;66.500
Datadian;77571B1;77000;199.500;66.500
Longnawang;77572B1;77000;199.500;66.500
Tidengpale;77611B1;77000;199.500;66.500
Pontianak;78000;78000;121.500;40.500
Darit;78364;78000;136.500;45.500
Kubu;78384;78000;136.500;45.500
Sanggau;78500;78500;139.500;46.500
Sekadau;78582;78500;145.500;48.500
Sintang;78600;78600;139.500;46.500
Kotabarusintang;78674;78600;154.500;51.500
Badau;78767;78600;154.500;51.500
Ketapang;78800;78800;139.500;46.500
Sukadanakalimantan;78852;78800;154.500;51.500
Mempawah;78900;78000;127.500;42.500
Singkawang;79100;79100;139.500;46.500
Bengkayang;79200;79100;154.500;51.500
Jawai;79454;79100;154.500;51.500
Denpasar;80000;80000;112.500;37.500
Blahkiuh;80352;80000;118.500;39.500
Gianyar;80500;80500;126.000;42.000
Bangli;80600;80500;132.000;44.000
Banjarangkan;80752;80500;132.000;44.000
Abang;80852;80500;132.000;44.000
Singaraja;81100;81100;126.000;42.000
Tabanan;82100;82100;126.000;42.000
Gilimanuk;82253;82100;141.000;47.000
Mataram;83000;83000;112.500;37.500
Anyar;83354;83000;118.500;39.500
Gerung;83363;83000;118.500;39.500
Batujai;83572;83000;118.500;39.500
Selong;83600;83600;126.000;42.000
Bima;84100;84100;138.000;46.000
Bajo;84162;84100;153.000;51.000
Dompu;84200;84100;153.000;51.000
Sumbawabesar;84300;84300;126.000;42.000
Jereweh;84356;84300;141.000;47.000
Kupang;85000;85000;180.000;60.000
Camplong;85363;85000;186.000;62.000
Bolou;85392;85000;195.000;65.000
Soe;85500;85500;193.500;64.500
Kefamenanu;85600;85500;208.500;69.500
Atambua;85700;85700;193.500;64.500
Besikama;85763;85700;199.500;66.500
Baranusa;85882;85000;195.000;65.000
Baa;85971;85000;195.000;65.000
Maumere;86100;86100;193.500;64.500
Boru;86253;86100;208.500;69.500
Ende;86300;86300;193.500;64.500
Aimere;86452;86300;208.500;69.500
Aesesa;86472;86300;199.500;66.500
Ruteng;86511B1;86700;208.500;69.500
Lewoleba;86600;86100;208.500;69.500
Komodo;86700;86700;193.500;64.500
Borong;86811B1;86700;208.500;69.500
Waingapu;87100;87100;193.500;64.500
Waikabubak;87200;87100;208.500;69.500
Elopada;87252;87100;208.500;69.500
Waibakul;87300;87100;208.500;69.500
Makassar;90000;90000;153.000;51.000
Bantimurung;90561;90000;159.000;53.000
Bungoro;90651;90000;159.000;53.000
Barru;90700;91100;177.000;59.000
Batubatu;90852;92700;186.000;62.000
Paria;90991;92700;186.000;62.000
Parepare;91100;91100;171.000;57.000
Mattirosompe;91261;91100;177.000;59.000
Campalagian;91353;91500;186.000;62.000
Mamasa;91362;91500;186.000;62.000
Majene;91400;91500;186.000;62.000
Mamuju;91500;91500;171.000;57.000
Topoyo;91564;91500;186.000;62.000
Pasangkayu;91571;91500;186.000;62.000
Amparita;91671;91100;177.000;59.000
Cakke;91752;91100;186.000;62.000
Makale;91800;91900;177.000;59.000
Rantepao;91890;91900;177.000;59.000
Palopo;91900;91900;171.000;57.000
Batusitanduk;91951;91900;186.000;62.000
Bonebone;91966;91900;177.000;59.000
Kalaenakiri-Ii;91974;91900;186.000;62.000
Borongloe;92172;90000;159.000;53.000
Takalar;92200;90000;159.000;53.000
Allu;92352;92500;186.000;62.000
Bantaeng;92400;92500;177.000;59.000
Bulukumba;92500;92500;171.000;57.000
Bikeru;92661;92500;177.000;59.000
Watampone;92700;92700;171.000;57.000
Selayar;92800;92500;186.000;62.000
Bontosikuyu;92855B1;92500;201.000;67.000
Kendari;93000;93000;169.500;56.500
Tinobu;93352;93000;175.500;58.500
Ambaipua;93372;93000;175.500;58.500
Langara;93393;93000;199.500;66.500
Abuki;93452;93000;175.500;58.500
Lasusua;93553;93000;184.500;61.500
Anaiwoi;93563;93000;184.500;61.500
Ladongi;93573;93000;184.500;61.500
Raha;93600;93000;199.500;66.500
Kambara;93653;93000;199.500;66.500
Lasehao;93661;93000;199.500;66.500
Wakuru;93662;93000;199.500;66.500
Ereke;93672;93700;202.500;67.500
Baubau;93700;93700;187.500;62.500
Sampolawa;93753;93700;193.500;64.500
Banabungi;93754;93700;193.500;64.500
Lombe;93761;93700;193.500;64.500
Boepinang;93772;93000;184.500;61.500
Sikeli;93781;93000;199.500;66.500
Binongko;93794;93700;202.500;67.500
Palu;94000;94000;169.500;56.500
Donggala;94351;94000;184.500;61.500
Binangga;94362;94000;175.500;58.500
Ampibabo;94374;94000;184.500;61.500
Bangkir;94554;94000;184.500;61.500
Leok;94564;94000;184.500;61.500
Kasiguncu;94652;94000;184.500;61.500
Beteleme;94666;94000;184.500;61.500
Kolonedale;94671;94000;184.500;61.500
Ampana;94683;94000;184.500;61.500
Luwuk;94700;94700;187.500;62.500
Salakan;94785;94700;202.500;67.500
Banggai;94791;94700;193.500;64.500
Manado;95000;95000;180.000;60.000
Amurang;95354;95000;195.000;65.000
Airmadidi;95371;95000;186.000;62.000
Tomohon;95400;95000;186.000;62.000
Bitung;95500;95000;186.000;62.000
Eris;95683;95000;186.000;62.000
Belang;95697;95000;195.000;65.000
Kotamobagu;95700;95700;198.000;66.000
Bintauna;95763;95700;213.000;71.000
Bolaangitang;95764;95700;213.000;71.000
Molibagu;95774;95700;204.000;68.000
Modayag;95781;95700;204.000;68.000
Tahuna;95800;95000;210.000;70.000
Manganitu;95853;95000;195.000;65.000
Tamako;95855;95000;210.000;70.000
Ulusiau;95861;95000;210.000;70.000
Ondong;95862;95000;195.000;65.000
Tagulandang;95863;95000;210.000;70.000
Beo;95881;95000;195.000;65.000
Gorontalo;96100;96100;192.000;64.000
Suwawa;96184;96100;198.000;66.000
Atinggola;96253;96100;198.000;66.000
Paguyaman;96261;96100;207.000;69.000
Lemito;96267;96100;207.000;69.000
Batudaa;96271;96100;198.000;66.000
Ambon;97000;97000;202.500;67.500
Amahai;97552;97000;217.500;72.500
Bula;97555;97000;217.500;72.500
Kairatu;97566;97000;217.500;72.500
Airbuaya;97572;97000;217.500;72.500
Leksula;97573;97000;217.500;72.500
Tual;97600;97600;220.500;73.500
Elat;97661;97600;226.500;75.500
Dobo;97662;97600;235.500;78.500
Larat;97663;97600;235.500;78.500
Ternate;97700;97700;202.500;67.500
Jailolo;97752;97700;208.500;69.500
Galela;97761;97700;217.500;72.500
Morotai;97771;97700;217.500;72.500
Labuha;97791;97700;217.500;72.500
Mangole;97796;97700;217.500;72.500
Payahe;97852;97700;208.500;69.500
Gebe;97855;97700;217.500;72.500
Maba;97862;97700;208.500;69.500
Biak;98100;98100;288.000;96.000
Bosnik;98152;98100;318.000;106.000
Yemburwo;98171;98100;318.000;106.000
Serui;98200;98100;325.500;108.500
Waren;98261;98100;358.500;119.500
Manokwari;98300;98300;288.000;96.000
Warmare;98352;98300;318.000;106.000
Oransbari;98353;98300;318.000;106.000
Ransiki;98355;98300;318.000;106.000
Prafi;98356;98300;318.000;106.000
Wasior;98362;98300;342.000;114.000
Babo;98363;98300;318.000;106.000
Bintuni;98364;98300;342.000;114.000
Sorong;98400;98400;270.000;90.000
Aimas;98418;98400;276.000;92.000
Sorongdoom;98451;98400;300.000;100.000
Teminabuan;98454;98400;300.000;100.000
Rajaampat(Ba);98481B1;98400;300.000;100.000
Fakfak;98600;98400;342.000;114.000
Kaimana;98654;98400;384.000;128.000
Enarotali;98700;98800;324.000;108.000
Waghete;98784B1;98800;402.000;134.000
Nabire;98800;98800;288.000;96.000
Makimi;98842B1;98800;402.000;134.000
Moanemani;98862;98800;324.000;108.000
Mulia;98900;98800;402.000;134.000
Jayapura;99000;99000;270.000;90.000
Yahukimo;99047B1;99000;390.000;130.000
Depapre;99353;99000;300.000;100.000
Demta;99354;99000;300.000;100.000
Genyem;99361;99000;300.000;100.000
Lereh;99364;99000;300.000;100.000
Arso;99368;99000;300.000;100.000
Sarmi;99373;99000;330.000;110.000
Wamena;99500;99000;390.000;130.000
Tiom;99531B1;99000;390.000;130.000
Pegununganbintang;99573B1;99000;390.000;130.000
Merauke;99600;99600;288.000;96.000
Bade;99653;99600;337.500;112.500
Kimaam;99655;99600;318.000;106.000
Kurik;99656;99600;318.000;106.000
Asiki;99661B1;99600;363.000;121.000
Mindiptana;99662;99600;318.000;106.000
Tanahmerah;99663;99600;318.000;106.000
Kepi;99671;99600;363.000;121.000
Agats;99677;99600;318.000;106.000
Tanahmiring;99692B1;99600;363.000;121.000
Timika;99900;99900;202.500;67.500
Kualakencana;99920;99900;232.500;77.500
Tembagapura;99930;99900;232.500;77.500
